ID,GENDER,INCOME,FAMILY_STATUS,HOUSING_TYPE,FAM_MEMBERS,STATUS
5008804,M,427500,Civil marriage,Rent,2,X
5008805,M,427500,Civil marriage,Rent,2,0
5008806,M,112500,Married,House,2,0
5008808,F,270000,Single,House,1,0
5008809,F,270000,Single,House,1,C
5008810,F,270000,Single,House,1,C
5008811,F,270000,Single,House,1,C
5008812,F,283500,Separated,House,1,C
5008813,F,283500,Separated,House,1,C
5008814,F,283500,Separated,House,1,C
5008815,M,270000,Married,House,2,C
5112956,M,270000,Married,House,2,C
6153651,M,270000,Married,House,2,C
5008819,M,135000,Married,House,2,0
5008820,M,135000,Married,House,2,0
5008821,M,135000,Married,House,2,0
5008822,M,135000,Married,House,2,0
5008823,M,135000,Married,House,2,0
5008824,M,135000,Married,House,2,0
5008825,F,130500,Married,House,2,0
5008826,F,130500,Married,House,2,0
5008830,F,157500,Married,House,2,0
5008831,F,157500,Married,House,2,0
5008832,F,157500,Married,House,2,X
5008834,F,112500,Single,House,2,X
5008835,F,112500,Single,House,2,X
6153712,F,112500,Single,House,2,X
5008836,M,270000,Married,House,5,X
5008837,M,270000,Married,House,5,X
5008838,M,405000,Married,House,3,X
5008839,M,405000,Married,House,3,X
5008840,M,405000,Married,House,3,X
5008841,M,405000,Married,House,3,X
5008842,M,405000,Married,House,3,X
5008843,M,405000,Married,House,3,X
5008844,M,112500,Married,House,2,X
5008846,M,112500,Married,House,2,X
5008847,M,112500,Married,House,2,X
5008849,M,112500,Married,House,2,X
5008850,M,112500,Married,House,2,X
5008851,M,112500,Married,House,2,X
5008852,M,112500,Married,House,2,X
5008853,M,112500,Married,House,2,X
6153733,M,112500,Married,House,2,X
6153734,M,112500,Married,House,2,X
6153735,M,112500,Married,House,2,X
5008854,F,135000,Married,House,4,X
5008855,F,135000,Married,House,4,X
5008856,F,135000,Married,House,4,X
5008857,F,135000,Married,House,4,X
5008858,F,135000,Married,House,4,X
5008859,F,135000,Married,House,4,X
5008860,F,135000,Married,House,4,X
5008861,F,135000,Married,House,4,X
5008862,F,135000,Married,House,4,X
5008863,F,135000,Married,House,4,X
5008864,F,135000,Married,House,4,X
5008865,F,135000,Married,House,4,X
5008866,F,135000,Married,House,4,X
5008867,F,135000,Married,House,4,X
5112846,F,135000,Married,House,4,X
6153736,F,135000,Married,House,4,X
5008868,F,211500,Civil marriage,House,3,X
5008870,F,211500,Civil marriage,House,3,X
5008872,M,360000,Married,House,2,X
6153737,M,360000,Married,House,2,X
5008873,F,126000,Married,House,4,X
5008874,F,126000,Married,House,4,X
5008875,F,126000,Married,House,4,X
5008876,F,126000,Married,House,4,X
5008877,F,126000,Married,House,4,X
5008878,F,126000,Married,House,4,X
5008879,F,126000,Married,House,4,X
5008880,F,126000,Married,House,4,X
5008881,F,126000,Married,House,4,X
5008882,F,126000,Married,House,4,X
5008884,F,315000,Widow,House,1,X
5008888,F,247500,Separated,Rent,1,X
5008889,F,247500,Separated,Rent,1,X
5008890,F,247500,Separated,Rent,1,X
5112847,F,247500,Separated,Rent,1,X
5008891,F,297000,Single,Rent,1,X
5008892,F,297000,Single,Rent,1,X
5008893,F,297000,Single,Rent,1,X
5008894,F,297000,Single,Rent,1,X
5008895,F,297000,Single,Rent,1,X
5008896,F,297000,Single,Rent,1,X
5008897,F,297000,Single,Rent,1,X
5008898,F,297000,Single,Rent,1,X
5008899,F,297000,Single,Rent,1,X
5008900,F,297000,Single,Rent,1,X
5008901,F,297000,Single,Rent,1,X
5008902,F,297000,Single,Rent,1,X
5008903,F,297000,Single,Rent,1,X
5008904,F,297000,Single,Rent,1,X
5008905,F,297000,Single,Rent,1,X
5008906,F,297000,Single,Rent,1,X
5008907,F,297000,Single,Rent,1,X
5008908,F,297000,Single,Rent,1,X
5008909,F,297000,Single,Rent,1,X
5008910,F,297000,Single,Rent,1,X
5008911,F,297000,Single,Rent,1,X
5008912,F,297000,Single,Rent,1,X
5008913,F,297000,Single,Rent,1,X
5008914,F,297000,Single,Rent,1,X
5008915,F,297000,Single,Rent,1,X
5008916,F,297000,Single,Rent,1,X
5008917,F,297000,Single,Rent,1,X
5008918,F,297000,Single,Rent,1,X
5008919,F,297000,Single,Rent,1,X
5008920,F,297000,Single,Rent,1,X
5008921,F,297000,Single,Rent,1,X
5008922,F,297000,Single,Rent,1,X
5008923,F,297000,Single,Rent,1,X
5008924,F,297000,Single,Rent,1,X
5008925,F,297000,Single,Rent,1,X
5008926,F,297000,Single,Rent,1,X
5008927,F,297000,Single,Rent,1,X
5008928,F,297000,Single,Rent,1,X
5008929,F,297000,Single,Rent,1,X
